가맹점명,주소
강릉점,강원도 강릉시 화부산로 130-1 (교동) .
동해점,강원도 동해시 천곡동 1079-4번지
삼척점,강원도 삼척시 교동로 53 (교동) .
속초점,강원도 속초시 교동 971-12
양구점,강원도 양구군 양구읍 상리 525-5
원주1호점,"강원도 원주시 남부시장길 2 (명륜동, 해동아파트) 해동아파트상가 B동 105호"
원주시청점,강원도 원주시 무실동 1720-6
원주기업도시점,강원도 원주시 지정면 능마루길 4 1층
동송점,강원도 철원군 동송읍 금학로 161 1층
춘천점,강원도 춘천시 후석로 69-1 (석사동) 1층
춘천중앙점,강원도 춘천시 교동 93-27
태백점,강원도 태백시 태백로 1058 (황지동) 1층
행신점,경기도 고양시 덕양구 행신동 943-1
화정원당점,경기도 고양시 덕양구 주교동 609-3
고양관산점,경기도 고양시 덕양구 통일로754번길 15(관산동) 111호
원흥삼송점,경기도 고양시 덕양구 원흥5로 25(원흥동) 판매시설동 1층 159호
식사점,경기도 고양시 일산동구 식사동 1528
마두점,경기도 고양시 일산동구 마두동 806
일산중산점,경기도 고양시 일산동구 중산로 117 (중산동) 107호
주엽점,경기도 고양시 일산서구 주엽동 30
덕이점,경기도 고양시 일산서구 덕이동 1540
킨텍스점,경기도 고양시 일산서구 주엽로 80 (대화동) 1층 D118호
과천점,경기도 과천시 별양로 184-1 (부림동) 1층
하안점,경기도 광명시 하안동 770
광명일직점,경기도 광명시 일직로12번길 21(일직동) 1층
경기광주점,경기도 광주시 송정동 112-6 1층
태전점,경기도 광주시 순암로 26
수택점,경기도 구리시 수택동 449-21
산본점,경기도 군포시 산본동 106-9
군포당동점,경기도 군포시 당동 904
김포점,경기도 김포시 사우동 877
장기점,경기도 김포시 장기동 1900-12
수동점,경기도 남양주시 수동면 입석리 464-5 1층
도농점,경기도 남양주시 다산동 667-1 106호
별내신도시점,경기도 남양주시 별내3로 94(별내동) 피자알볼로 별내신도시점
진접점,경기도 남양주시 진접읍 해밀예당1로 189번길 14
호평평내점,경기도 남양주시 호평동 617-2 메이플카운티 101-6호
마석점,경기도 남양주시 화도읍 마석중앙로37번길 1 1층
다산신도시점,경기도 남양주시 다산순환로 118-77 (다산동) 예스프라자20 108호
수동점,경기도 남양주시 수동면 입석리 464-5 1층
도농점,경기도 남양주시 다산동 667-1 106호
별내신도시점,경기도 남양주시 별내3로 94(별내동) 피자알볼로 별내신도시점
진접점,경기도 남양주시 진접읍 해밀예당1로 189번길 14
호평평내점,경기도 남양주시 호평동 617-2 메이플카운티 101-6호
마석점,경기도 남양주시 화도읍 마석중앙로37번길 1 1층
다산신도시점,경기도 남양주시 다산순환로 118-77 (다산동) 예스프라자20 108호
상동점,경기도 부천시 상동 556-1
중동점,경기도 부천시 상동 533-3
범박점,경기도 부천시 소사본동 409-6
부천역점,경기도 부천시  심곡동 367-7
원종점,경기도 부천시 여월동 10-42
판교점,경기도 성남시 분당구 판교동 577-2
